SchCD|Ac_Year|BoysB13C8|GirlsB13C8|BoysB13C9|GirlsB13C9|BoysB13C10|GirlsB13C10|Boys13C8|Girls13C8|Boys13C9|Girls13C9|Boys13C10|Girls13C10|Boys14C8|Girls14C8|Boys14C9|Girls14C9|Boys14C10|Girls14C10|Boys15C8|Girls15C8|Boys15C9|Girls15C9|Boys15C10|Girls15C10|BoysA15C8|GirlsA15C8|BoysA15C9|GirlsA15C9|BoysA15C10|GirlsA15C10|BoysB15C11|GirlB15C11|BoysB15C12|GirlB15C12|Boys15C11|Girl15C11|Boys15C12|Girl15C12|Boys16C11|Girl16C11|Boys16C12|Girl16C12|Boys17C11|Girl17C11|Boys17C12|Girl17C12|BoysA17C11|GirlA17C11|BoysA17C12|GirlA17C12|SCHCD1|AC_YEAR1|E5YB_B8|E5YB_G8|ECY_B8|ECY_G8|E5YB_B9|E5YB_G9|ECY_B9|ECY_G9|E5YB_B10|E5YB_G10|ECY_B10|ECY_G10|E5YB_B11|E5YB_G11|ECY_B11|ECY_G11|E5YB_B12|E5YB_G12|ECY_B12|ECY_G12|CHKBIT
29140403202|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|29140403202|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29140403203|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|29140403203|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29140403204|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|29140403204|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29140403205|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|51|61|0|0|0|0|0|0|75|67|0|0|0|0|0|0|54|75|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|29140403205|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29140403206|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|29140403206|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29140403207|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|29140403207|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29140403208|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|29140403208|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29140403501|2010-11|0|0|0|0|0|0|0|7|0|0|0|0|0|35|0|9|0|0|0|0|0|46|0|8|0|0|0|0|0|40|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|29140403501|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29180900504|2010-11|2|0|0|0|0|0|12|8|0|0|0|0|3|3|10|4|0|0|0|0|6|2|15|5|0|0|2|1|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|29180900504|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29180900505|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|29180900505|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29180900601|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|29180900601|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29180900701|2010-11|0|0|0|0|0|0|32|28|0|0|0|0|0|0|20|14|0|0|0|0|0|0|11|6|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|29180900701|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
